timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,Latency,IdleTime,Connect
1486138548882,846,Post AD FS,200,OK,Thread Group 1-36,text,true,,8974,2593,100,100,256,0,0
1486138543375,6366,Pagina Inicial,200,OK,Thread Group 1-57,text,true,,16258,606,100,100,4343,0,121
1486138548966,787,Post AD FS,200,OK,Thread Group 1-73,text,true,,8994,2613,100,100,719,0,0
1486138543769,6043,Pagina Inicial,200,OK,Thread Group 1-91,text,true,,16258,606,100,100,3974,0,212
1486138543674,6189,Pagina Inicial,200,OK,Thread Group 1-82,text,true,,16258,606,100,100,4062,0,247
1486138543734,6165,Pagina Inicial,200,OK,Thread Group 1-87,text,true,,16258,606,100,100,4002,0,205
1486138549032,892,Post AD FS,200,OK,Thread Group 1-47,text,true,,8974,2593,100,100,720,0,0
1486138549056,905,Post AD FS,200,OK,Thread Group 1-39,text,true,,8974,2593,100,100,624,0,0
1486138548870,1105,Post AD FS,200,OK,Thread Group 1-98,text,true,,8974,2593,100,100,263,0,0
1486138543739,6255,Pagina Inicial,200,OK,Thread Group 1-88,text,true,,16258,606,100,100,4002,0,235
1486138548867,1145,Post AD FS,200,OK,Thread Group 1-50,text,true,,8974,2593,100,100,330,0,0
1486138548878,1138,Post AD FS,200,OK,Thread Group 1-17,text,true,,8974,2593,100,100,191,0,0
1486138549120,907,Post AD FS,200,OK,Thread Group 1-40,text,true,,8974,2593,100,100,211,0,0
1486138542780,7256,Pagina Inicial,200,OK,Thread Group 1-1,text,true,,16258,606,100,100,4961,0,185
1486138548874,1176,Post AD FS,200,OK,Thread Group 1-44,text,true,,8974,2593,100,100,320,0,0
1486138549057,1001,Post AD FS,200,OK,Thread Group 1-20,text,true,,8974,2593,100,100,910,0,0
1486138548887,1171,Post AD FS,200,OK,Thread Group 1-8,text,true,,8974,2593,100,100,226,0,0
1486138543567,6504,Pagina Inicial,200,OK,Thread Group 1-71,text,true,,16258,606,100,100,4133,0,232
1486138548966,1112,Post AD FS,200,OK,Thread Group 1-51,text,true,,8974,2593,100,100,769,0,0
1486138543108,6973,Pagina Inicial,200,OK,Thread Group 1-32,text,true,,16258,606,100,100,4577,0,128
1486138548894,1195,Post AD FS,200,OK,Thread Group 1-2,text,true,,8974,2593,100,100,366,0,0
1486138543216,6888,Pagina Inicial,200,OK,Thread Group 1-43,text,true,,16258,606,100,100,4471,0,144
1486138543842,6286,Pagina Inicial,200,OK,Thread Group 1-96,text,true,,16258,606,100,100,3869,0,163
1486138548864,1264,Post AD FS,200,OK,Thread Group 1-27,text,true,,8994,2613,100,100,519,0,0
1486138543248,6899,Pagina Inicial,200,OK,Thread Group 1-45,text,true,,16258,606,100,100,4455,0,105
1486138548860,1286,Post AD FS,200,OK,Thread Group 1-25,text,true,,8974,2593,100,100,453,0,0
1486138548979,1174,Post AD FS,200,OK,Thread Group 1-95,text,true,,8974,2593,100,100,468,0,0
1486138548860,1296,Post AD FS,200,OK,Thread Group 1-24,text,true,,8974,2593,100,100,541,0,0
1486138549004,1229,Post AD FS,200,OK,Thread Group 1-56,text,true,,8994,2613,100,100,514,0,0
1486138542812,7431,Pagina Inicial,200,OK,Thread Group 1-4,text,true,,16258,606,100,100,4897,0,161
1486138549100,1145,Post AD FS,200,OK,Thread Group 1-52,text,true,,8994,2613,100,100,420,0,0
1486138548926,1330,Post AD FS,200,OK,Thread Group 1-13,text,true,,8994,2613,100,100,491,0,0
1486138548961,1296,Post AD FS,200,OK,Thread Group 1-80,text,true,,8994,2613,100,100,556,0,0
1486138549119,1140,Post AD FS,200,OK,Thread Group 1-33,text,true,,8994,2613,100,100,329,0,0
1486138549129,1132,Post AD FS,200,OK,Thread Group 1-46,text,true,,8974,2593,100,100,124,0,0
1486138543029,7240,Pagina Inicial,200,OK,Thread Group 1-23,text,true,,16258,606,100,100,4658,0,129
1486138548997,1274,Post AD FS,200,OK,Thread Group 1-3,text,true,,8994,2613,100,100,469,0,0
1486138549069,1206,Post AD FS,200,OK,Thread Group 1-37,text,true,,8974,2593,100,100,675,0,0
1486138549066,1211,Post AD FS,200,OK,Thread Group 1-30,text,true,,8974,2593,100,100,1028,0,0
1486138549330,993,Post AD FS,200,OK,Thread Group 1-97,text,true,,8974,2593,100,100,303,0,0
1486138548966,1357,Post AD FS,200,OK,Thread Group 1-86,text,true,,8994,2613,100,100,609,0,0
1486138549025,1298,Post AD FS,200,OK,Thread Group 1-84,text,true,,8974,2593,100,100,556,0,0
1486138549039,1287,Post AD FS,200,OK,Thread Group 1-19,text,true,,8974,2593,100,100,606,0,0
1486138543671,6659,Pagina Inicial,200,OK,Thread Group 1-81,text,true,,16258,606,100,100,4064,0,245
1486138549009,1319,Post AD FS,200,OK,Thread Group 1-15,text,true,,8974,2593,100,100,559,0,0
1486138548984,1346,Post AD FS,200,OK,Thread Group 1-69,text,true,,8994,2613,100,100,584,0,0
1486138548788,1597,Post AD FS,200,OK,Thread Group 1-11,text,true,,8974,2593,100,100,286,0,0
1486138543532,6864,Pagina Inicial,200,OK,Thread Group 1-67,text,true,,16258,606,100,100,4167,0,179
1486138549036,1358,Post AD FS,200,OK,Thread Group 1-34,text,true,,8994,2613,100,100,625,0,0
1486138549075,1321,Post AD FS,200,OK,Thread Group 1-64,text,true,,8974,2593,100,100,669,0,0
1486138549014,1390,Post AD FS,200,OK,Thread Group 1-21,text,true,,8974,2593,100,100,634,0,0
1486138549030,1375,Post AD FS,200,OK,Thread Group 1-31,text,true,,8974,2593,100,100,627,0,0
1486138548852,1553,Post AD FS,200,OK,Thread Group 1-16,text,true,,8994,2613,100,100,1241,0,0
1486138549062,1350,Post AD FS,200,OK,Thread Group 1-29,text,true,,8974,2593,100,100,676,0,0
1486138543757,6661,Pagina Inicial,200,OK,Thread Group 1-89,text,true,,16258,606,100,100,3953,0,245
1486138549025,1392,Post AD FS,200,OK,Thread Group 1-48,text,true,,8974,2593,100,100,658,0,0
1486138548974,1461,Post AD FS,200,OK,Thread Group 1-63,text,true,,8974,2593,100,100,817,0,0
1486138548969,1468,Post AD FS,200,OK,Thread Group 1-54,text,true,,8974,2593,100,100,892,0,0
1486138543341,7101,Pagina Inicial,200,OK,Thread Group 1-53,text,true,,16258,606,100,100,4348,0,100
1486138549088,1361,Post AD FS,200,OK,Thread Group 1-66,text,true,,8974,2593,100,100,776,0,0
1486138549069,1397,Post AD FS,200,OK,Thread Group 1-58,text,true,,8994,2613,100,100,735,0,0
1486138543570,6913,Pagina Inicial,200,OK,Thread Group 1-70,text,true,,16258,606,100,100,4151,0,162
1486138549164,1316,Post AD FS,200,OK,Thread Group 1-76,text,true,,8974,2593,100,100,720,0,0
1486138543766,6729,Pagina Inicial,200,OK,Thread Group 1-90,text,true,,16258,606,100,100,3944,0,236
1486138548895,1602,Post AD FS,200,OK,Thread Group 1-42,text,true,,8974,2593,100,100,512,0,0
1486138549719,785,Post AD FS,200,OK,Thread Group 1-41,text,true,,8994,2613,100,100,174,0,0
1486138549163,1341,Post AD FS,200,OK,Thread Group 1-85,text,true,,8974,2593,100,100,793,0,0
1486138543176,7336,Pagina Inicial,200,OK,Thread Group 1-38,text,true,,16258,606,100,100,4510,0,132
1486138549092,1419,Post AD FS,200,OK,Thread Group 1-65,text,true,,8974,2593,100,100,824,0,0
1486138549084,1434,Post AD FS,200,OK,Thread Group 1-49,text,true,,8994,2613,100,100,813,0,0
1486138549152,1366,Post AD FS,200,OK,Thread Group 1-68,text,true,,8974,2593,100,100,836,0,0
1486138549096,1428,Post AD FS,200,OK,Thread Group 1-93,text,true,,8974,2593,100,100,895,0,0
1486138543687,6840,Pagina Inicial,200,OK,Thread Group 1-83,text,true,,16258,606,100,100,4021,0,246
1486138549199,1335,Post AD FS,200,OK,Thread Group 1-78,text,true,,8974,2593,100,100,872,0,0
1486138549104,1430,Post AD FS,200,OK,Thread Group 1-55,text,true,,8994,2613,100,100,906,0,0
1486138549104,1433,Post AD FS,200,OK,Thread Group 1-72,text,true,,8974,2593,100,100,884,0,0
1486138543078,7464,Pagina Inicial,200,OK,Thread Group 1-28,text,true,,16258,606,100,100,4610,0,130
1486138549104,1440,Post AD FS,200,OK,Thread Group 1-59,text,true,,8994,2613,100,100,859,0,0
1486138549277,1279,Post AD FS,200,OK,Thread Group 1-35,text,true,,8994,2613,100,100,807,0,0
1486138549282,1280,Post AD FS,200,OK,Thread Group 1-75,text,true,,8974,2593,100,100,791,0,0
1486138549324,1247,Post AD FS,200,OK,Thread Group 1-60,text,true,,8974,2593,100,100,816,0,0
1486138549380,1201,Post AD FS,200,OK,Thread Group 1-77,text,true,,8974,2593,100,100,772,0,0
1486138549209,1395,Post AD FS,200,OK,Thread Group 1-9,text,true,,8974,2593,100,100,967,0,0
1486138548991,1659,Post AD FS,200,OK,Thread Group 1-5,text,true,,8974,2593,100,100,1266,0,0
